,date,unit_price,quantity,rating,day,month,year,total
44,2019-02-14,78.50333333333333,12,6.866666666666667,14,2,2019,1072.8165
45,2019-02-15,51.291999999999994,23,8.22,15,2,2019,1223.208
46,2019-02-16,24.82,7,7.1,16,2,2019,182.427
47,2019-02-17,67.53857142857143,39,7.314285714285715,17,2,2019,3070.956
48,2019-02-18,61.74666666666667,14,7.033333333333334,18,2,2019,931.749
49,2019-02-19,79.3775,25,7.675,19,2,2019,2063.3235
50,2019-02-20,54.1,17,9.5,20,2,2019,903.0315
51,2019-02-21,94.64,3,5.5,21,2,2019,298.116
52,2019-02-22,35.91,21,6.3999999999999995,22,2,2019,509.166
53,2019-02-23,73.47,4,6.0,23,2,2019,308.574
54,2019-02-24,43.97,12,4.55,24,2,2019,522.8580000000001
55,2019-02-25,76.96166666666666,22,5.983333333333333,25,2,2019,1806.336
56,2019-02-26,51.03,3,5.75,26,2,2019,156.1035
57,2019-02-27,57.06,38,6.840000000000001,27,2,2019,2441.7015
58,2019-02-28,68.31,9,6.949999999999999,28,2,2019,684.306
59,2019-03-01,34.17666666666667,16,6.3,1,3,2019,644.217
60,2019-03-02,64.87333333333333,9,5.966666666666666,2,3,2019,641.4555
61,2019-03-03,33.772000000000006,24,6.5,3,3,2019,814.5165
62,2019-03-04,50.84222222222222,57,7.366666666666666,4,3,2019,2851.7895
63,2019-03-05,80.11,5,6.6,5,3,2019,418.6875
64,2019-03-06,52.295,26,8.0,6,3,2019,1033.326
65,2019-03-07,47.26666666666667,14,6.7,7,3,2019,368.68649999999997
66,2019-03-08,70.8925,22,7.225,8,3,2019,1592.2725
67,2019-03-09,68.97500000000001,39,7.133333333333334,9,3,2019,2780.19
68,2019-03-10,56.330000000000005,26,7.1499999999999995,10,3,2019,1479.1979999999999
69,2019-03-11,63.022000000000006,26,6.16,11,3,2019,1711.1744999999999
70,2019-03-12,73.035,11,8.899999999999999,12,3,2019,923.454
71,2019-03-13,38.64333333333334,22,5.8,13,3,2019,788.109
72,2019-03-14,59.050000000000004,21,7.175,14,3,2019,1751.6100000000001
73,2019-03-15,47.04333333333333,21,6.566666666666666,15,3,2019,644.4585
74,2019-03-16,53.28666666666667,17,6.3999999999999995,16,3,2019,1042.7024999999999
75,2019-03-17,77.195,14,4.9,17,3,2019,1133.034
76,2019-03-18,42.224999999999994,9,4.45,18,3,2019,389.613
77,2019-03-19,51.050000000000004,30,7.416666666666667,19,3,2019,1892.1315
78,2019-03-20,64.345,37,7.433333333333334,20,3,2019,2372.4645
79,2019-03-21,44.6975,25,6.775,21,3,2019,1308.7305000000001
80,2019-03-22,60.221428571428575,34,7.5,22,3,2019,2128.056
81,2019-03-23,46.339999999999996,34,7.6000000000000005,23,3,2019,1748.376
82,2019-03-24,68.13,6,7.8,24,3,2019,424.62
83,2019-03-25,31.7175,18,8.0,25,3,2019,577.1220000000001
84,2019-03-26,44.75833333333333,25,6.3500000000000005,26,3,2019,1187.3400000000001
85,2019-03-27,51.612,22,6.68,27,3,2019,1060.626
86,2019-03-28,48.13999999999999,35,7.0,28,3,2019,1652.931
87,2019-03-29,71.9,13,6.949999999999999,29,3,2019,977.613
88,2019-03-30,57.1425,23,7.775,30,3,2019,1320.6165
