,date,unit_price,quantity,rating,day,month,year,total
41,2019-02-11,79.33666666666666,25,6.566666666666667,11,2,2019,2043.9825
42,2019-02-12,69.725,11,6.95,12,2,2019,969.5174999999999
43,2019-02-13,43.45333333333334,11,7.233333333333334,13,2,2019,391.9335
44,2019-02-14,61.78333333333334,14,6.7,14,2,2019,621.5790000000001
45,2019-02-15,62.621428571428574,39,8.257142857142856,15,2,2019,2392.761
46,2019-02-16,52.51666666666667,18,4.933333333333334,16,2,2019,1082.592
47,2019-02-17,49.4625,26,6.475,17,2,2019,1377.4635
48,2019-02-18,65.08,8,6.833333333333333,18,2,2019,533.2845
49,2019-02-19,53.14,29,7.025,19,2,2019,1693.8075000000001
50,2019-02-20,86.27,1,7.0,20,2,2019,90.5835
51,2019-02-21,65.0,8,7.7,21,2,2019,659.862
52,2019-02-22,46.21,10,7.433333333333334,22,2,2019,760.515
53,2019-02-23,58.21333333333333,12,8.133333333333333,23,2,2019,804.363
54,2019-02-24,41.0475,31,6.55,24,2,2019,1436.589
55,2019-02-25,67.325,6,4.6,25,2,2019,502.7505
56,2019-02-26,22.93,9,5.5,26,2,2019,216.6885
57,2019-02-27,93.34333333333332,16,8.366666666666667,27,2,2019,1529.367
58,2019-02-28,89.59,10,7.1,28,2,2019,917.952
59,2019-03-01,76.72,13,5.7,1,3,2019,1056.8355000000001
60,2019-03-02,58.004999999999995,34,6.566666666666666,2,3,2019,2346.5924999999997
61,2019-03-03,45.913333333333334,45,6.866666666666666,3,3,2019,2224.908
62,2019-03-04,64.47,9,8.0,4,3,2019,860.832
63,2019-03-05,56.604,39,6.36,5,3,2019,2272.1895
64,2019-03-06,37.0,1,7.9,6,3,2019,38.85
65,2019-03-07,55.629999999999995,16,6.65,7,3,2019,771.6659999999999
66,2019-03-08,40.11666666666667,33,7.733333333333333,8,3,2019,1440.558
67,2019-03-09,60.0175,21,6.75,9,3,2019,1687.3709999999999
68,2019-03-10,54.49333333333334,22,5.866666666666667,10,3,2019,1342.7715
69,2019-03-11,37.0,20,7.133333333333333,11,3,2019,766.7415
70,2019-03-12,53.525999999999996,25,7.5,12,3,2019,1361.703
71,2019-03-13,51.37,19,6.7749999999999995,13,3,2019,851.613
72,2019-03-14,54.21111111111111,58,6.233333333333333,14,3,2019,3449.0294999999996
73,2019-03-15,65.26,8,6.3,15,3,2019,548.184
74,2019-03-16,66.81,15,7.733333333333333,16,3,2019,1270.479
75,2019-03-17,28.905,11,7.4,17,3,2019,393.246
76,2019-03-18,57.326666666666675,12,8.700000000000001,18,3,2019,450.1875
77,2019-03-19,69.27142857142857,38,6.571428571428571,19,3,2019,3248.658
78,2019-03-20,59.803333333333335,21,6.366666666666667,20,3,2019,1401.9285
79,2019-03-21,57.29,6,5.9,21,3,2019,360.927
80,2019-03-23,64.78,29,7.775,23,3,2019,1962.198
81,2019-03-24,53.374,29,6.540000000000001,24,3,2019,1488.06
82,2019-03-25,67.11333333333333,18,7.8,25,3,2019,1277.7555
83,2019-03-26,48.2425,14,5.675000000000001,26,3,2019,473.97
84,2019-03-27,99.82,9,6.6,27,3,2019,943.299
85,2019-03-28,45.346666666666664,10,7.8,28,3,2019,480.8055
86,2019-03-29,55.59,14,5.35,29,3,2019,985.6980000000001
87,2019-03-30,62.4325,25,6.9,30,3,2019,1441.9859999999999
